# n_hidden, lambdaval, training_time
100, 0.0000, 13.1030
100, 0.0500, 14.2814
100, 0.1000, 14.5358
100, 0.1500, 15.1754
100, 0.2000, 14.2491
100, 0.2500, 14.1677
100, 0.3000, 14.2005
100, 0.3500, 13.8819
100, 0.4000, 14.0040
100, 0.4500, 14.5857
100, 0.5000, 14.9873
100, 0.5500, 14.3651
100, 0.6000, 14.7127
100, 0.6500, 13.6342
100, 0.7000, 14.8771
100, 0.7500, 14.5755
100, 0.8000, 14.3259
100, 0.8500, 15.1189
100, 0.9000, 14.1295
100, 0.9500, 14.7534
