# n_hidden, lambdaval, training_time
100, 0.0000, 14.4520
100, 5.0000, 15.4187
100, 10.0000, 14.7498
100, 15.0000, 13.8790
100, 20.0000, 13.9428
100, 25.0000, 14.3825
100, 30.0000, 13.5828
100, 35.0000, 13.1059
100, 40.0000, 13.8762
100, 45.0000, 14.3585
100, 50.0000, 13.7354
100, 55.0000, 13.8473
100, 60.0000, 13.3406
