# n_hidden, lambdaval, accuracy, training_accuracy
100, 0.0000, 95.3800, 96.3500
100, 2.0000, 94.6600, 95.4400
100, 4.0000, 94.8300, 95.5160
100, 6.0000, 94.7800, 95.5300
100, 8.0000, 94.7900, 95.5000
100, 10.0000, 94.5000, 95.1920
100, 12.0000, 94.1700, 94.8320
100, 14.0000, 94.1500, 94.7220
100, 16.0000, 94.1300, 94.5400
100, 18.0000, 94.4400, 95.1020
100, 20.0000, 94.9100, 95.6240
